id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,elapsed_s,error
24,M3,code,easy,¿Cómo asigno un OnClickListener a un botón `btnEnviar` en Kotlin?,"Para asignar un `OnClickListener` a un botón `btnEnviar` en Kotlin, puedes seguir el patrón de código que se ha visto en los fragmentos proporcionados del contexto. Aquí te muestro cómo hacerlo:

```kotlin
btnEnviar.setOnClickListener {
    val nombre = etNombre.text.toString().trim()
    val correo = etCorreo.text.toString()
    val ciudad = spCiudad.selectedItem.toString()
    val sexoId = rgSexo.checkedRadioButtonId
    if (nombre.isEmpty() || correo.isEmpty()) {
        Toast.makeText(this, ",7,1.0,0.72,0.143,0.0,24.1,
25,M3,conceptual,medium,¿Qué es Jetpack Compose y qué lo diferencia del sistema de Views tradicional?,"Jetpack Compose es un kit de herramientas moderno para Android que facilita el desarrollo de interfaces de usuario (IU) nativas. Según el material del curso, simplifica y acelera el proceso de desarrollo de la IU en Android utilizando menos código y proporcionando herramientas potentes con API intuitivas de Kotlin.

En comparación con el sistema de Views tradicional, Jetpack Compose ofrece una abordaje declarativo que permite definir directamente cómo se verá la interfaz final sin necesidad de e",7,0.833,0.919,0.25,0.75,24.7,
26,M3,code,easy,"Escribe un composable `@Composable fun Saludo(nombre: String)` que muestre ""Hola, {nombre}"" en un Text.","El material del curso no cubre la implementación de composables en Kotlin para Android, por lo que no podemos proporcionar código específico para esta solicitud. Sin embargo, te puedo explicar el concepto básico y cómo podrías aplicarlo en una aplicación móvil con Kotlin.

Para mostrar un saludo personalizado utilizando un composable en Kotlin para Android, primero necesitarías definir la función `@Composable` y luego usarla dentro de tu interfaz de usuario. Aquí tienes un ejemplo simplificado b",7,0.25,0.73,0.167,0.667,21.5,
27,M3,conceptual,medium,¿Cuál es el componente recomendado para navegar entre pantallas en apps Android modernas?,"El material del curso no cubre específicamente cuál es el componente recomendado para navegar entre pantallas en apps Android modernas. Sin embargo, en aplicaciones Android modernas, se recomienda utilizar `fragments` o `Activities` dependiendo de la funcionalidad requerida.

En términos generales, `fragments` son útiles cuando se desea reutilizar partes de la interfaz de usuario y navegar entre ellas sin reiniciar la actividad principal. Por otro lado, `Activities` son más apropiadas para cambi",7,0.8,0.895,0.0,0.0,27.5,
28,M3,conceptual,hard,¿Cuáles son los componentes principales de un RecyclerView y su responsabilidad?,"Según el material del curso proporcionado, los componentes principales de un `RecyclerView` incluyen:

1. **Adapter**: Este es el componente que se encarga de vincular la fuente de datos con el `RecyclerView`. El adapter es responsable de crear, actualizar y mantener las vistas que representan los elementos en la lista.

2. **ViewHolder**: Es una clase interna del adapter que almacena una referencia a cada subvista (view) dentro de un item del `RecyclerView`. Esto permite acceder rápidamente a l",7,0.75,0.873,0.0,0.8,22.6,
29,M3,application,easy,¿Por qué debo usar strings.xml en lugar de hardcodear textos en el layout?,"En el contexto del curso, se menciona que `strings.xml` almacena texto que se muestra en la app. Usar `strings.xml` en lugar de hardcodear textos directamente en el layout tiene varias ventajas:

1. **Manejo de Localizaciones**: Al almacenar los textos en `strings.xml`, puedes fácilmente manejar diferentes idiomas para tu aplicación, lo que facilita la internacionalización.

2. **Consistencia y Mantenibilidad**: Si necesitas cambiar un texto en toda la aplicación, solo debes hacerlo en un lugar ",7,1.0,0.907,0.0,0.75,26.4,
30,M3,application,hard,¿Cómo aplico Material Design 3 a mi aplicación Android y qué beneficios trae?,"El material design 3 (MD3) es una actualización del sistema de diseño creado por Google, que se enfoca en mejorar la claridad y la consistencia visual. Aunque el contexto proporcionado no menciona explícitamente MD3, podemos inferir que los principios fundamentales de Material Design siguen siendo aplicables.

Para aplicar Material Design 3 a tu aplicación Android, debes asegurarte de incluir las dependencias correspondientes en tu archivo `build.gradle`. Según el contexto del curso, la dependen",7,0.0,0.897,0.5,0.4,26.2,
31,M4,conceptual,easy,¿Por qué es importante implementar validación de entrada de datos en una aplicación móvil?,"La implementación de la validación de entrada de datos en una aplicación móvil es crucial para garantizar que los datos ingresados por el usuario sean correctos y consistentes, lo cual previene errores y mejora la experiencia del usuario. Según el material del curso, la validación de datos es el proceso de verificar que los datos ingresados sean correctos, lo que previene errores antes de procesar la información.

En una aplicación móvil, donde los usuarios interactúan directamente con el softwa",7,0.667,0.877,0.639,1.0,26.7,
32,M4,code,medium,¿Cómo se muestra un mensaje de error en un EditText cuando la validación falla en Kotlin?,"Para mostrar un mensaje de error en un `EditText` cuando la validación falla en Kotlin, puedes utilizar el método `setError()` proporcionado por Android. Este método permite establecer un mensaje de error que se muestra debajo del campo de texto.

Basándome en los fragmentos del contexto, aquí tienes un ejemplo de cómo implementar esta funcionalidad:

```kotlin
// Supongamos que tenemos un EditText llamado etNombre
val etNombre: EditText = findViewById(R.id.etNombre)

// Validación simple: verif",7,1.0,0.954,0.25,0.5,22.8,
33,M4,conceptual,easy,¿Qué componente de Android se utiliza para mostrar una lista desplegable de opciones?,"El componente de Android que se utiliza para mostrar una lista desplegable de opciones es el `Spinner`. Sin embargo, según el contexto proporcionado del curso de Aplicaciones Móviles, no hay información específica sobre el uso de Spinners en este proyecto particular. El material del curso enfatiza principalmente el uso de `RecyclerView` y `CardView` para mostrar listas de datos.

Si necesitas implementar un Spinner en tu aplicación, puedes hacerlo utilizando XML para definir la interfaz y Kotlin",7,0.8,0.784,0.143,0.0,23.7,
34,M4,code,medium,¿Cómo se asigna un Adapter a un RecyclerView en Kotlin?,"En Kotlin, para asignar un `Adapter` a un `RecyclerView`, se utiliza el método `adapter`. Este método es parte de la clase `RecyclerView` y se encarga de vincular el adaptador con el `RecyclerView`, permitiendo que muestre los datos proporcionados por el adaptador en una interfaz visual.

En el contexto del curso, puedes ver un ejemplo similar a este:

```kotlin
binding.rvVista.adapter = adapter
```

Aquí, `rvVista` es un `RecyclerView` declarado en tu archivo de diseño (`activity_main.xml`) y `",7,0.857,0.953,0.2,0.333,23.9,
35,M4,code,medium,¿Cómo se configura la URL base en Retrofit para consumir una API REST?,"Según el contexto proporcionado, la configuración de la URL base en Retrofit se realiza al crear una instancia de la clase `Retrofit`. Específicamente, se utiliza el método `retrofit2.Retrofit.Builder().baseUrl()` para establecer esta URL.

El fragmento 5 y 6 del contexto mencionan que se crea una instancia de Retrofit con la URL base de la PokéAPI:

```kotlin
val retrofit = Retrofit.Builder()
    .baseUrl(""https://pokeapi.co/api/v2/"")
    .build()
```

Esta configuración es fundamental para ind",7,1.0,0.897,0.267,0.5,23.2,
36,M4,code,medium,¿Cómo se define un endpoint GET en una interfaz Retrofit?,"En una interfaz Retrofit, un endpoint GET se define utilizando la anotación `@GET` junto con el método correspondiente y la URL del endpoint. Según el contexto proporcionado, aquí está cómo se definiría un endpoint GET para obtener detalles de un Pokémon:

```kotlin
interface PokeApiService {
    @GET(""pokemon/{name}"")
    suspend fun getPokemonDetails(@Path(""name"") name: String): PokemonResponse
}
```

En este ejemplo, `@GET(""pokemon/{name}"")` indica que se está definiendo una petición GET a la",7,0.6,0.906,0.5,1.0,20.2,
37,M4,application,medium,¿Qué librería se utiliza en el proyecto Poke API para consumir el servicio REST?,"En el proyecto Poke API, se utiliza la librería Retrofit para consumir el servicio REST proporcionado por la PokéAPI. Esta librería facilita la comunicación con APIs REST en Kotlin y se configura creando una instancia de Retrofit con la URL base de la PokéAPI (https://pokeapi.co/api/v2/).",7,1.0,0.906,0.321,0.25,18.7,
38,M4,conceptual,easy,¿Qué permiso se debe declarar en AndroidManifest.xml para que la aplicación realice peticiones HTTP?,"Para permitir que una aplicación realice peticiones HTTP, es necesario declarar el permiso `android.permission.INTERNET` en el archivo `AndroidManifest.xml`. Este permiso permite a la aplicación conectarse a Internet y realizar solicitudes HTTP.

```xml
<uses-permission android:name=""android.permission.INTERNET"" />
```

Es importante asegurarse de incluir este permiso para que las operaciones de red funcionen correctamente en tu aplicación Android.",7,0.5,0.952,0.75,0.667,20.2,
39,M4,conceptual,medium,¿Qué ventajas ofrece TextInputLayout sobre un EditText puro?,"Según el material del curso, TextInputLayout mejora la experiencia del usuario al proporcionar etiquetas flotantes y validación más elegante en comparación con un EditText puro. Este componente combina las funcionalidades de EditText con una capa adicional que ofrece características adicionales para mejorar la interacción del usuario.

El uso de TextInputLayout junto con TextInputEditText permite una mayor personalización y adaptabilidad, lo cual es crucial para crear interfaces de usuario más a",7,0.667,0.896,0.333,0.714,22.9,
40,M4,conceptual,hard,¿Qué rol cumple Gson cuando Retrofit recibe una respuesta JSON desde una API?,"Gson juega un papel crucial en el proceso de conversión entre datos JSON y objetos Kotlin, facilitando la manipulación de estos datos en la aplicación Android.

Según los fragmentos del contexto proporcionados, cuando Retrofit recibe una respuesta JSON desde una API como la PokéAPI, Gson se encarga de convertir automáticamente este JSON en objetos Kotlin. Esto permite que el código de la aplicación pueda trabajar directamente con estas estructuras de datos en lugar de tener que manejar cadenas d",7,1.0,0.889,0.0,0.75,20.9,
41,M5,application,easy,¿Qué opción del menú de Android Studio se utiliza para generar un APK firmado?,"Para generar un APK firmado en Android Studio, debes acceder al menú **Build** y seleccionar la opción **Generate Signed Bundle / APK...**. Esta opción te permitirá configurar el keystore y las credenciales necesarias para firmar tu aplicación antes de su distribución.

Según los fragmentos del contexto proporcionados, específicamente en el Fragmento 6 y Fragmento 7, se menciona que debes seleccionar el keystore y alias creados, ingresar las contraseñas y hacer clic en **Next**. Posteriormente, ",7,0.833,0.906,0.5,0.8,24.4,
42,M5,conceptual,medium,¿Qué es un keystore y para qué se utiliza en la publicación de una aplicación Android?,"Un keystore es un archivo digital que contiene las claves privadas necesarias para firmar la aplicación Android. Este proceso de firma es crucial para garantizar la autenticidad y seguridad de la aplicación, especialmente cuando se publica en Google Play.

Según el contexto del curso, el keystore se utiliza durante el proceso de generación de la APK para producción. Específicamente, en Android Studio, se accede a través de la opción ""Build → Generate Signed Bundle / APK"". Allí, se puede crear un",7,1.0,0.905,0.583,1.0,28.4,
43,M5,application,medium,¿Cuáles son los pasos para firmar un APK por primera vez en Android Studio?,"El material del curso no cubre el detalle de cómo firmar un APK por primera vez en Android Studio. Sin embargo, puedo proporcionarte una guía general basada en prácticas comunes y que podrías adaptar a tu proyecto:

1. **Genera una clave privada**: Antes de firmar el APK, necesitas generar una clave privada. Puedes hacerlo desde la consola o directamente en Android Studio.

2. **Configura el archivo `build.gradle`**: Asegúrate de que tu archivo `build.gradle` esté configurado para usar la firma ",7,0.8,0.898,0.0,0.0,23.3,
44,M5,conceptual,easy,¿Qué es el alias dentro de un keystore en Android?,"El alias dentro de un keystore en Android representa el nombre único asignado a cada clave privada que se almacena en el archivo `.jks`. Este alias es crucial ya que permite identificar y referenciar específicamente la clave privada asociada con una firma digital. En el contexto del curso, cuando generas un keystore en Android Studio siguiendo las instrucciones proporcionadas, debes completar el campo ""Alias"" con un nombre único que identifique a esta clave.

Según los fragmentos del contexto, a",7,0.833,0.883,0.5,1.0,24.8,
45,M5,conceptual,medium,¿Cuál es la diferencia entre las variantes de compilación debug y release en Android?,"En el contexto del curso, se menciona que la configuración del tipo de build es crucial para la distribución de aplicaciones móviles. La principal diferencia entre las variantes de compilación ""debug"" y ""release"" radica en su propósito y características:

1. **Build Variante Debug**:
   - Se utiliza principalmente para desarrollo y pruebas.
   - Ofrece información detallada sobre errores, lo que facilita la depuración del código.
   - Incluye mensajes de traza y herramientas de depuración que no",7,1.0,0.858,0.25,0.75,30.4,
46,M5,application,medium,¿Qué tecnologías se integran en el proyecto final del curso al consumir la PokeAPI?,"En el proyecto final del curso, se integran las siguientes tecnologías para consumir la PokéAPI:

1. **Lenguaje de Programación**: Kotlin, que es el lenguaje principal utilizado en el desarrollo de aplicaciones Android.

2. **Framework de Interfaz de Usuario**: RecyclerView, que se utiliza para mostrar una lista dinámica de Pokémon de manera eficiente y optimizada.

3. **Consumo de API RESTful**: La PokéAPI es consumida mediante solicitudes HTTP, lo cual implica el uso de métodos como GET para o",7,0.75,0.791,0.0,0.429,21.3,
47,M5,code,easy,¿En qué archivo y con qué propiedades se configura el versionCode y versionName de una app Android?,"Según el material del curso, no se proporcionan detalles específicos sobre cómo configurar el `versionCode` y `versionName` en un archivo particular. El `AndroidManifest.xml`, que es mencionado como un archivo esencial para la configuración de la estructura básica del proyecto, no incluye información sobre estas propiedades.

El `versionCode` y `versionName` suelen ser configurados en el archivo `build.gradle` (module:app), específicamente dentro de la sección `defaultConfig`. Sin embargo, dado ",7,0.75,0.573,0.143,0.4,22.7,
48,M5,conceptual,easy,¿Qué define la propiedad minSdkVersion en build.gradle de un proyecto Android?,"La propiedad `minSdkVersion` en el archivo `build.gradle` define la versión mínima del sistema operativo Android que tu aplicación soporta y puede ejecutarse. Según el contexto proporcionado, se especifica que `minSdk = 24`, lo cual significa que tu aplicación está diseñada para funcionar a partir de Android 7.0 (Nougat). Esta configuración asegura que la aplicación no se instalará en dispositivos con versiones anteriores del sistema operativo.

El material del curso indica que esta versión cubr",7,0.8,0.783,0.5,1.0,23.9,
49,M5,application,medium,¿En qué carpeta del proyecto se genera por defecto el APK firmado tras una compilación release exitosa?,"Según el material del curso, al finalizar la generación del APK en Android Studio, aparecerá una notificación indicando la ruta donde se guardó el archivo. Sin embargo, el contexto no especifica exactamente en qué carpeta del proyecto esto ocurre por defecto.

Para obtener esta información con precisión, te recomendaría revisar las opciones de configuración de build variantes y firmado en Android Studio, ya que estas pueden definir la ubicación específica donde se guarda el APK generado.",7,0.75,0.862,0.167,0.333,19.6,
50,M5,code,hard,¿Cómo se realiza una llamada a un endpoint Retrofit de forma asíncrona usando coroutines de Kotlin?,"Según el material del curso, para realizar una llamada a un endpoint de Retrofit de forma asíncrona utilizando coroutines en Kotlin, se define una interfaz con los métodos HTTP correspondientes y luego se utiliza `suspend fun` para permitir la ejecución asíncrona. Aquí te presento un ejemplo basado en el contexto proporcionado:

```kotlin
import retrofit2.Call
import retrofit2.http.GET
import retrofit2.http.Path

// Definición de la interfaz con los métodos HTTP
interface PokeApiService {
    @G",7,0.833,0.828,0.167,1.0,25.7,
