id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,context_entities_recall,answer_correctness,elapsed_s,error
21,M3,application,medium,¿Por qué se recomienda ConstraintLayout sobre LinearLayout anidados?,"Se recomienda `ConstraintLayout` sobre layouts anidados de `LinearLayout` porque permite crear interfaces complejas con menor jerarquía de vistas, lo cual resulta en un mejor rendimiento y mantenibilidad. Según el material del curso, `ConstraintLayout` es más flexible y eficiente para diseños modernos, evitando la necesidad de anidar muchos layouts, que puede hacer que los proyectos se vuelvan complejos y difíciles de mantener.

Además, `ConstraintLayout` utiliza restricciones flexibles en ambos",7,0.8,0.924,0.81,0.75,0.667,0.881,27.1,
22,M3,code,easy,"Escribe el XML para un Button con id `btnEnviar`, texto ""Enviar"" y ancho que ocupe todo el padre.","Basándome en los fragmentos del contexto proporcionados, se puede escribir el código XML para un `Button` con las características solicitadas de la siguiente manera:

```xml
<Button
    android:id=""@+id/btnEnviar""
    android:layout_width=""match_parent""
    android:layout_height=""wrap_content""
    android:text=""Enviar"" />
```

Este fragmento de código define un `Button` que ocupa todo el ancho disponible del contenedor padre (`match_parent`) y tiene un texto predeterminado ""Enviar"".",7,0.333,0.859,0.467,0.556,0.6,0.959,24.5,
23,M3,conceptual,medium,¿Qué es View Binding y por qué es superior a findViewById?,"El material del curso no cubre el detalle sobre por qué View Binding es superior a `findViewById`. Sin embargo, puedo explicar brevemente la diferencia entre ambos métodos.

View Binding es una característica introducida en Android que genera un archivo de binding para cada layout XML. Este archivo proporciona referencias directas a los elementos del layout, lo que simplifica el código y mejora la seguridad al evitar errores comunes como `NullPointerException`.

En contraste, `findViewById` requ",7,0.75,0.87,0.5,0.75,0.4,0.723,25.6,
24,M3,code,easy,¿Cómo asigno un OnClickListener a un botón `btnEnviar` en Kotlin?,"Para asignar un `OnClickListener` a un botón `btnEnviar` en Kotlin, puedes seguir el ejemplo proporcionado en los fragmentos del contexto. Aquí te muestro cómo hacerlo:

```kotlin
btnEnviar.setOnClickListener {
    // Turno
    val turnoId = rgTurno.checkedRadioButtonId
    if (turnoId == -1) {
        Toast.makeText(this, ""Seleccione un turno"", Toast.LENGTH_SHORT).show()
        return@setOnClickListener
    }
    val turno = findViewById<RadioButton>(turnoId).text
    // Aquí puedes agregar el",7,1.0,0.921,0.393,0.875,0.75,0.203,31.6,
25,M3,conceptual,medium,¿Qué es Jetpack Compose y qué lo diferencia del sistema de Views tradicional?,"Jetpack Compose es un kit de herramientas moderno para Android que facilita el desarrollo de interfaces de usuario (IU) nativas. Según el material del curso, simplifica y acelera el proceso de desarrollo de la IU en Android utilizando menos código y ofreciendo herramientas potentes con API intuitivas de Kotlin.

En comparación con el sistema de Views tradicional, Jetpack Compose presenta varias diferencias clave:

1. Enfoque declarativo: Jetpack Compose utiliza un enfoque declarativo para defini",7,0.667,0.9,0.443,0.6,0.714,0.898,34.3,
26,M3,code,easy,"Escribe un composable `@Composable fun Saludo(nombre: String)` que muestre ""Hola, {nombre}"" en un Text.","El material del curso no cubre la creación de composables (`@Composable`) específicos para la biblioteca Jetpack Compose, que es parte de la plataforma de desarrollo Android. Sin embargo, puedo proporcionarte una explicación general basada en lo que se ha cubierto.

Para mostrar un saludo personalizado utilizando `@Composable`, podrías crear una función composable que tome el nombre como parámetro y muestre el texto correspondiente. Aquí tienes un ejemplo simplificado:

```kotlin
import androidx",7,0.75,0.769,0.578,0.25,1.0,0.554,30.0,
27,M3,conceptual,medium,¿Cuál es el componente recomendado para navegar entre pantallas en apps Android modernas?,"En la actualidad, el **Intent** es el componente principal utilizado para navegar entre actividades (pantallas) en aplicaciones Android. Según el material del curso, se menciona que un Intent permite la comunicación entre componentes de Android y se usa principalmente para navegar entre Activities y pasar datos.

El ejemplo proporcionado muestra cómo se puede usar un Intent explícito para dirigir la navegación a otra pantalla:

```kotlin
val intent = Intent(this, DetalleActivity::class.java)
sta",7,0.75,0.789,0.5,0.5,0.8,0.534,35.3,
28,M3,conceptual,hard,¿Cuáles son los componentes principales de un RecyclerView y su responsabilidad?,"Según el material del curso, los componentes principales de un `RecyclerView` y sus respectivas responsabilidades son:

1. **Adapter**: Este es responsable de proporcionar datos a la vista (`ViewHolder`) y se encarga de la personalización y rendimiento al manejar listas grandes de elementos eficientemente.

2. **ViewHolder**: Es una clase que representa cada elemento en la lista y se utiliza para mejorar el desempeño del `RecyclerView` al reutilizar vistas existentes, lo que reduce la carga de r",7,0.6,0.88,0.735,0.6,0.6,0.639,29.2,
29,M3,application,easy,¿Por qué debo usar strings.xml en lugar de hardcodear textos en el layout?,"En Android, es recomendable utilizar `strings.xml` para almacenar texto que se muestra en la aplicación en lugar de hardcodearlo directamente en el archivo XML del diseño (layout). Esto se debe a varias razones:

1. **Localización**: `strings.xml` permite manejar múltiples idiomas fácilmente. Puedes crear archivos `strings.xml` para diferentes lenguajes y Android los seleccionará automáticamente según la configuración regional del dispositivo.

2. **Mantenibilidad**: Al almacenar el texto en un ",7,0.625,0.891,0.375,0.714,0.5,0.869,35.1,
30,M3,application,hard,¿Cómo aplico Material Design 3 a mi aplicación Android y qué beneficios trae?,"El material design 3 (MD3) es una actualización del sistema de diseño creado por Google, que se enfoca en mejorar la claridad y la consistencia visual. Aunque el contexto proporcionado se refiere principalmente al material design original, es importante mencionar que MD3 incorpora mejoras significativas que pueden ser aplicadas a tu aplicación Android.

Según los fragmentos del curso, para aplicar Material Design 3 en una aplicación Android con Kotlin, debes asegurarte de agregar las dependencia",7,0.75,0.858,0.5,0.667,0.5,0.742,38.0,
31,M4,conceptual,easy,¿Por qué es importante implementar validación de entrada de datos en una aplicación móvil?,"Implementar la validación de entrada de datos en una aplicación móvil es crucial para garantizar que los datos ingresados sean correctos y consistentes, lo cual previene errores y mejora la experiencia del usuario. Según el contexto del curso, la validación de datos se describe como ""el proceso de verificar que los datos ingresados sean correctos"", lo que impide que información incorrecta o inadecuada sea procesada, lo cual puede llevar a resultados erróneos o incluso fallos en la aplicación.

A",7,0.625,0.847,0.467,0.667,0.5,0.766,32.6,
32,M4,code,medium,¿Cómo se muestra un mensaje de error en un EditText cuando la validación falla en Kotlin?,"En Kotlin, para mostrar un mensaje de error en un `EditText` cuando la validación falla, puedes utilizar el componente `TextInputLayout`. Este componente proporciona una forma fácil y estilizada de mostrar mensajes de error asociados a un `EditText`.

Primero, asegúrate de que tu layout XML incluya un `TextInputLayout` alrededor del `EditText`, como se muestra en el siguiente ejemplo:

```xml
<androidx.appcompat.widget.LinearLayoutCompat xmlns:android=""http://schemas.android.com/apk/res/android""",7,0.857,0.918,0.5,0.4,0.75,,32.2,the input length exceeds the context length (status code: 400)
33,M4,conceptual,easy,¿Qué componente de Android se utiliza para mostrar una lista desplegable de opciones?,"Según el contexto proporcionado, el componente de Android que se utiliza para mostrar una lista desplegable de opciones es `Spinner`. Este componente permite al usuario seleccionar un elemento de una lista predefinida en una interfaz gráfica.

El material del curso no cubre detalles específicos sobre la implementación o configuración de un Spinner, por lo que te recomendaría consultar las documentaciones oficiales de Android para obtener más información sobre cómo incluir y gestionar un Spinner ",7,0.667,0.843,0.448,0.5,5.0,0.817,29.1,
34,M4,code,medium,¿Cómo se asigna un Adapter a un RecyclerView en Kotlin?,"En Kotlin para asignar un `Adapter` a un `RecyclerView`, primero se obtiene una referencia al `RecyclerView` mediante el método `findViewById`. Luego, se establece el `LayoutManager` y finalmente se asocia el `Adapter` con el `RecyclerView`.

El código proporcionado en el contexto del curso muestra cómo se realiza este proceso. Por ejemplo:

```kotlin
val recyclerView = findViewById<RecyclerView>(R.id.rvContactos)
recyclerView.layoutManager = LinearLayoutManager(this)
recyclerView.adapter = Cont",7,0.714,0.946,0.622,0.714,0.5,0.807,27.5,
35,M4,code,medium,¿Cómo se configura la URL base en Retrofit para consumir una API REST?,"Según el material del curso, la configuración de la URL base en Retrofit se realiza al crear una instancia de Retrofit con la URL correspondiente a la PokéAPI. Específicamente, el fragmento 3 y 4 indican que esta URL es ""https://pokeapi.co/api/v2/"". Este paso es crucial para permitir que Retrofit se conecte correctamente con la API.

```kotlin
val retrofit = Retrofit.Builder()
    .baseUrl(""https://pokeapi.co/api/v2/"")
    .build()
```

Esta configuración establece la URL base desde donde Retrof",7,0.75,0.846,0.639,0.75,0.714,0.732,25.1,
36,M4,code,medium,¿Cómo se define un endpoint GET en una interfaz Retrofit?,"Según el material del curso, para definir un endpoint GET en una interfaz Retrofit, se utiliza la siguiente estructura:

```kotlin
interface PokeApiService {
    @GET(""pokemon"")
    suspend fun getPokemonList(@Query(""limit"") limit: Int): Response<List<Pokemon>>

    @GET(""pokemon/{name}"")
    suspend fun getPokemonDetail(@Path(""name"") name: String): Response<PokemonDetail>
}
```

En este ejemplo, `PokeApiService` es la interfaz que describe los endpoints a consumir. El método `getPokemonList` se",7,0.833,0.772,0.443,,0.5,0.824,38.0,
37,M4,application,medium,¿Qué librería se utiliza en el proyecto Poke API para consumir el servicio REST?,"En el proyecto Poke API, se utiliza la librería Retrofit para consumir el servicio REST proporcionado por la PokéAPI. Esta librería facilita la comunicación con APIs RESTful en Kotlin y se configura creando una instancia de Retrofit con la URL base de la PokéAPI (https://pokeapi.co/api/v2/).",7,1.0,0.835,0.375,0.4,0.625,0.602,26.6,
38,M4,conceptual,easy,¿Qué permiso se debe declarar en AndroidManifest.xml para que la aplicación realice peticiones HTTP?,"Según el material del curso, para permitir que una aplicación realice peticiones HTTP, es necesario declarar el permiso `android.permission.INTERNET`. Este permiso permite a tu aplicación conectarse a Internet y realizar solicitudes HTTP.

Ejemplo de cómo se declara este permiso en el archivo AndroidManifest.xml:

```xml
<uses-permission android:name=""android.permission.INTERNET"" />
```

Es importante no olvidar incluir esta línea para que la aplicación tenga los permisos necesarios para realiza",7,0.667,0.94,0.686,0.667,1.0,0.819,21.9,
39,M4,conceptual,medium,¿Qué ventajas ofrece TextInputLayout sobre un EditText puro?,"Según el material del curso, el uso de `TextInputLayout` junto con `TextInputEditText` mejora la experiencia del usuario al proporcionar etiquetas flotantes y validación más elegante en comparación con un `EditText` puro. Específicamente, el `TextInputLayout` permite que las etiquetas se desplacen hacia arriba cuando el usuario comienza a escribir en el campo de entrada, lo cual es una característica visualmente atractiva y funcionalmente útil para guiar al usuario sobre qué información debe ing",7,0.75,0.857,0.71,0.75,0.4,0.721,25.3,
40,M4,conceptual,hard,¿Qué rol cumple Gson cuando Retrofit recibe una respuesta JSON desde una API?,"Gson juega un papel crucial en el proceso de consumo de respuestas JSON proporcionadas por una API utilizando Retrofit. Según el material del curso, Gson se utiliza para convertir automáticamente entre objetos Kotlin y JSON. Esto significa que cuando Retrofit recibe una respuesta JSON de una API, Gson se encarga de deserializar esa respuesta JSON en objetos Kotlin, facilitando su manejo y uso dentro del código de la aplicación.

En resumen, Gson actúa como un puente entre el formato JSON de las ",7,0.8,0.92,0.476,0.333,0.6,0.823,25.4,
41,M5,application,easy,¿Qué opción del menú de Android Studio se utiliza para generar un APK firmado?,"Según el material del curso, la opción del menú de Android Studio utilizada para generar un APK firmado es ""Generate Signed Bundle / APK"". Este proceso implica seleccionar el keystore y alias creados, ingresar las contraseñas correspondientes, elegir el tipo de build generalmente como ""release"", y finalizar el procedimiento.

Para más detalles sobre este paso, puedes acceder a través del menú `Build` en Android Studio. Allí encontrarás la opción `Generate Signed Bundle / APK`, que te llevará al ",7,0.667,0.899,0.583,0.714,0.857,0.895,28.6,
42,M5,conceptual,medium,¿Qué es un keystore y para qué se utiliza en la publicación de una aplicación Android?,"Un keystore es un archivo digital que contiene las claves privadas necesarias para firmar el código de tu aplicación Android. Este proceso de firma es crucial para garantizar la autenticidad y seguridad de tu aplicación, especialmente cuando se publica en Google Play.

Según el material del curso, el keystore se utiliza durante el proceso de generación de la APK para producir una firma digital que valida que la aplicación provenga de un desarrollador confiable. Este paso es fundamental para cump",7,1.0,0.9,0.639,0.667,0.6,0.737,32.6,
43,M5,application,medium,¿Cuáles son los pasos para firmar un APK por primera vez en Android Studio?,"Para firmar un APK por primera vez en Android Studio, siguiendo el material del curso proporcionado, se deben seguir estos pasos:

1. **Preparación del Proyecto**: Asegúrate de que tu proyecto esté completo y sin errores de compilación.

2. **Generación del Keystore**:
   - Accede a ""Generate Signed Bundle / APK"" en la ventana principal de Android Studio.
   - Selecciona ""Create new keystore"".
   - Sigue los pasos para crear un nuevo keystore, incluyendo el ingreso de información como nombre, ub",7,0.75,0.882,0.443,0.625,0.75,0.597,35.3,
44,M5,conceptual,easy,¿Qué es el alias dentro de un keystore en Android?,"El alias dentro de un keystore en Android representa un nombre único que se asocia con una clave privada específica almacenada en ese keystore. Este alias es crucial durante el proceso de firma del APK, ya que permite identificar y seleccionar la clave privada correcta para firmar la aplicación.

Según los fragmentos proporcionados, al generar o configurar un keystore en Android Studio, se solicita completar campos como el alias, junto con la contraseña del keystore y la contraseña de la clave. ",7,1.0,0.922,0.573,0.5,1.0,0.828,28.3,
45,M5,conceptual,medium,¿Cuál es la diferencia entre las variantes de compilación debug y release en Android?,"En Android, las variantes de compilación ""debug"" y ""release"" tienen diferencias significativas que afectan tanto el proceso de desarrollo como la ejecución del código.

Según el material del curso, al seleccionar la variante ""debug"", se optimiza el código para facilitar la depuración. Esto significa que se incluyen información adicional en el código, como mensajes de depuración y referencias a las líneas de código, lo cual es útil durante el desarrollo pero no recomendable para una aplicación fi",7,0.625,0.923,0.532,0.444,0.5,0.792,32.4,
46,M5,application,medium,¿Qué tecnologías se integran en el proyecto final del curso al consumir la PokeAPI?,"En el proyecto final del curso para consumir la PokéAPI, se integran las siguientes tecnologías:

1. **Retrofit**: Se utiliza como librería para facilitar la comunicación con la API RESTful de la PokéAPI.

2. **Kotlin**: Es el lenguaje de programación utilizado en el proyecto Android.

3. **RecyclerView**: Se emplea para mostrar una lista de Pokémon, permitiendo un manejo eficiente de elementos en la interfaz de usuario.

Estas tecnologías trabajan en conjunto para consumir los datos proporciona",7,0.875,0.77,0.467,0.667,0.7,0.724,36.6,
47,M5,code,easy,¿En qué archivo y con qué propiedades se configura el versionCode y versionName de una app Android?,"El `versionCode` y `versionName` se configuran en el archivo `build.gradle`, que es parte del entorno de desarrollo de Android Studio. Según el fragmento proporcionado, estos valores se definen dentro del bloque `defaultConfig` dentro del archivo `build.gradle`.

```kotlin
android {
    compileSdk = 34          // SDK máximo para compilar

    defaultConfig {
        minSdk = 24          // Mínimo soportado (Android 7.0)
        targetSdk = 34       // SDK objetivo optimizado
        versionCode",7,0.8,0.869,1.0,0.667,0.8,0.975,26.4,
48,M5,conceptual,easy,¿Qué define la propiedad minSdkVersion en build.gradle de un proyecto Android?,"La propiedad `minSdkVersion` en el archivo `build.gradle` define la versión mínima del sistema operativo Android que tu aplicación soporta y puede ejecutarse. Según el contexto proporcionado, se especifica que `minSdk = 24`, lo cual cubre aproximadamente el **95%** de dispositivos Android activos en Latinoamérica.

Esta configuración es crucial porque asegura que la aplicación sea compatible con un amplio rango de dispositivos y sistemas operativos. Al establecer este valor, se indica al compila",7,0.75,0.854,0.723,0.667,0.667,0.595,27.4,
49,M5,application,medium,¿En qué carpeta del proyecto se genera por defecto el APK firmado tras una compilación release exitosa?,"Según el material del curso, al finalizar la generación del APK en modo ""release"", aparecerá una notificación indicando la ruta donde se guardó el archivo. Sin embargo, no se especifica exactamente en qué carpeta del proyecto esto ocurre por defecto.

Para obtener esta información con precisión, te recomendaría revisar las configuraciones de tu proyecto en Android Studio o consultar directamente con el material del curso si es posible. En general, el APK firmado suele guardarse en una subcarpeta",7,0.667,0.902,0.5,0.25,0.75,0.82,22.6,
50,M5,code,hard,¿Cómo se realiza una llamada a un endpoint Retrofit de forma asíncrona usando coroutines de Kotlin?,"Según el material del curso, Retrofit simplifica el consumo de APIs REST en Android y permite realizar llamadas asíncronas utilizando coroutines (`suspend fun`) de Kotlin. Sin embargo, el contexto no proporciona detalles específicos sobre cómo se implementaría esto.

Para ilustrar de manera general, una llamada a un endpoint de forma asíncrona usando coroutines podría verse así:

```kotlin
import retrofit2.Retrofit
import retrofit2.converter.gson.GsonConverterFactory
import kotlinx.coroutines.*
",7,0.429,0.893,0.679,0.5,0.625,0.815,32.1,
